lpx,step,elbo,lqz,loss,lpz,epoch,kl
-716.8160400390625,15399,-725.0869750976562,-62.710628509521484,725.0869750976562,-70.98152923583984,128,8.270896911621094
-716.695068359375,15499,-725.0161743164062,-62.66104507446289,725.0161743164062,-70.98216247558594,129,8.32111930847168
-716.4844970703125,15599,-724.85205078125,-62.616737365722656,724.85205078125,-70.98428344726562,129,8.36754322052002
-716.5617065429688,15699,-724.9652709960938,-62.57951736450195,724.9652709960938,-70.9831314086914,130,8.403614044189453
-716.396240234375,15799,-724.8355102539062,-62.55167770385742,724.8355102539062,-70.99090576171875,131,8.439231872558594
-716.4064331054688,15899,-724.8811645507812,-62.5211181640625,724.8811645507812,-70.99580383300781,132,8.474687576293945
-715.9495239257812,15999,-724.46484375,-62.48357391357422,724.46484375,-70.99890899658203,133,8.515336036682129
-716.3517456054688,16099,-724.8995361328125,-62.45315170288086,724.8995361328125,-71.00096130371094,134,8.547806739807129
-716.2695922851562,16199,-724.8529663085938,-62.417510986328125,724.8529663085938,-71.00090789794922,134,8.583396911621094
-716.0271606445312,16299,-724.6638793945312,-62.37126159667969,724.6638793945312,-71.00804138183594,135,8.636778831481934
-715.8684692382812,16399,-724.5556640625,-62.317813873291016,724.5556640625,-71.00504302978516,136,8.687230110168457
-715.9674682617188,16499,-724.7060546875,-62.26503372192383,724.7060546875,-71.00363159179688,137,8.738598823547363
-715.7910766601562,16599,-724.5745849609375,-62.2206916809082,724.5745849609375,-71.00421905517578,138,8.783525466918945
-715.4437255859375,16699,-724.2736206054688,-62.17186737060547,724.2736206054688,-71.00179290771484,139,8.82992935180664
-715.5401000976562,16799,-724.4100952148438,-62.13508605957031,724.4100952148438,-71.00506591796875,139,8.869982719421387
-715.3984985351562,16899,-724.3140869140625,-62.088836669921875,724.3140869140625,-71.00443267822266,140,8.915594100952148
-715.5023803710938,16999,-724.4606323242188,-62.053035736083984,724.4606323242188,-71.0112533569336,141,8.95821762084961
-715.5418090820312,17099,-724.546630859375,-62.0069580078125,724.546630859375,-71.01182556152344,142,9.004870414733887
-714.9766845703125,17199,-724.0283203125,-61.955997467041016,724.0283203125,-71.00762176513672,143,9.051620483398438
-714.9360961914062,17299,-724.02490234375,-61.91843795776367,724.02490234375,-71.00727081298828,144,9.088833808898926
-714.9695434570312,17399,-724.0968627929688,-61.87554931640625,724.0968627929688,-71.00286102294922,144,9.127307891845703
-714.7030029296875,17499,-723.8756713867188,-61.826744079589844,723.8756713867188,-70.99945068359375,145,9.172707557678223
-714.531494140625,17599,-723.747802734375,-61.77849197387695,723.747802734375,-70.99481201171875,146,9.216322898864746
-714.8468017578125,17699,-724.1195068359375,-61.719696044921875,724.1195068359375,-70.99242401123047,147,9.272726058959961
-714.44189453125,17799,-723.7794799804688,-61.653076171875,723.7794799804688,-70.99063110351562,148,9.337555885314941
-714.51513671875,17899,-723.9234008789062,-61.57494354248047,723.9234008789062,-70.98320007324219,149,9.408257484436035
-714.2614135742188,17999,-723.7531127929688,-61.490989685058594,723.7531127929688,-70.98265838623047,149,9.491670608520508
-714.0780029296875,18099,-723.6619873046875,-61.399803161621094,723.6619873046875,-70.98380279541016,150,9.58399486541748
-714.026123046875,18199,-723.7001342773438,-61.30986404418945,723.7001342773438,-70.98388671875,151,9.674020767211914
-713.8278198242188,18299,-723.584228515625,-61.22748565673828,723.584228515625,-70.98387908935547,152,9.756391525268555
-713.347900390625,18399,-723.1885375976562,-61.14628219604492,723.1885375976562,-70.9869384765625,153,9.840655326843262
-713.2589111328125,18499,-723.177490234375,-61.06695556640625,723.177490234375,-70.98550415039062,154,9.918546676635742
-713.3096923828125,18599,-723.3031005859375,-60.99491500854492,723.3031005859375,-70.98837280273438,154,9.99345874786377
-713.0789794921875,18699,-723.1666259765625,-60.90789794921875,723.1666259765625,-70.99559020996094,155,10.087693214416504
-712.745361328125,18799,-722.9176635742188,-60.82530975341797,722.9176635742188,-70.99758911132812,156,10.17227840423584
-712.8432006835938,18899,-723.0878295898438,-60.7564697265625,723.0878295898438,-71.00109100341797,157,10.244625091552734
-712.7349853515625,18999,-723.0615844726562,-60.67794418334961,723.0615844726562,-71.0045166015625,158,10.326570510864258
-712.7968139648438,19099,-723.1881713867188,-60.606605529785156,723.1881713867188,-70.99791717529297,159,10.391308784484863
-712.4237670898438,19199,-722.8756713867188,-60.54594802856445,722.8756713867188,-70.99789428710938,159,10.451947212219238
-712.1929931640625,19299,-722.7203979492188,-60.471702575683594,722.7203979492188,-70.9991226196289,160,10.527421951293945
-712.005126953125,19399,-722.6028442382812,-60.4022216796875,722.6028442382812,-70.99993896484375,161,10.5977144241333
-712.2611083984375,19499,-722.9260864257812,-60.33736038208008,722.9260864257812,-71.0023422241211,162,10.664983749389648
-711.75146484375,19599,-722.4903564453125,-60.263797760009766,722.4903564453125,-71.0027084350586,163,10.738905906677246
-711.7349853515625,19699,-722.5564575195312,-60.1843147277832,722.5564575195312,-71.00579833984375,164,10.821478843688965
-711.4024047851562,19799,-722.3093872070312,-60.09796142578125,722.3093872070312,-71.00492095947266,164,10.906962394714355
-711.2418823242188,19899,-722.2523803710938,-59.99810028076172,722.2523803710938,-71.00860595703125,165,11.01050853729248
-711.2234497070312,19999,-722.33251953125,-59.900089263916016,722.33251953125,-71.0091323852539,166,11.109045028686523
-711.057861328125,20099,-722.26806640625,-59.79963302612305,722.26806640625,-71.00989532470703,167,11.210260391235352
-710.8421630859375,20199,-722.136474609375,-59.71055603027344,722.136474609375,-71.00486755371094,168,11.294309616088867
-710.4430541992188,20299,-721.8330078125,-59.61851501464844,721.8330078125,-71.00846099853516,169,11.389948844909668
-710.3590087890625,20399,-721.84033203125,-59.5296630859375,721.84033203125,-71.01094055175781,169,11.48127269744873
-710.4649047851562,20499,-722.0559692382812,-59.42049026489258,722.0559692382812,-71.01155090332031,170,11.591064453125
-710.2015991210938,20599,-721.8955078125,-59.315128326416016,721.8955078125,-71.00904083251953,171,11.6939115524292
-710.1583251953125,20699,-721.968505859375,-59.2028694152832,721.968505859375,-71.01304626464844,172,11.810179710388184
-709.5101928710938,20799,-721.4344482421875,-59.08613967895508,721.4344482421875,-71.01033782958984,173,11.924196243286133
-709.5028076171875,20899,-721.5370483398438,-58.97955322265625,721.5370483398438,-71.01382446289062,174,12.03427505493164
-709.1887817382812,20999,-721.3333129882812,-58.868621826171875,721.3333129882812,-71.0131607055664,174,12.144535064697266
-709.302001953125,21099,-721.5433959960938,-58.773414611816406,721.5433959960938,-71.01480102539062,175,12.241385459899902
-708.9298095703125,21199,-721.289306640625,-58.66575622558594,721.289306640625,-71.02523803710938,176,12.359482765197754
-708.801513671875,21299,-721.2505493164062,-58.570064544677734,721.2505493164062,-71.01908874511719,177,12.44902229309082
-708.51416015625,21399,-721.05078125,-58.481082916259766,721.05078125,-71.01771545410156,178,12.53663158416748
-708.2916259765625,21499,-720.9179077148438,-58.3975715637207,720.9179077148438,-71.02385711669922,179,12.626285552978516
-708.0866088867188,21599,-720.8049926757812,-58.30514144897461,720.8049926757812,-71.02352905273438,179,12.718391418457031
-707.9993896484375,21699,-720.8057250976562,-58.218135833740234,720.8057250976562,-71.02447509765625,180,12.806337356567383
-708.0267333984375,21799,-720.9083862304688,-58.139591217041016,720.9083862304688,-71.021240234375,181,12.881651878356934
-707.670166015625,21899,-720.6468505859375,-58.04619216918945,720.6468505859375,-71.0229263305664,182,12.976733207702637
-707.2821044921875,21999,-720.3453369140625,-57.96394729614258,720.3453369140625,-71.02716064453125,183,13.063215255737305
-707.5452880859375,22099,-720.6903686523438,-57.88287353515625,720.6903686523438,-71.02792358398438,184,13.145050048828125
